sequence,k_size=0.25,k_size=0.5,k_size=0.75,k_size=1.0,k_size=1.25
ball,2,1,0,0,0
basketball,0,0,1,2,3
bicycle,3,1,1,1,1
bolt,3,0,0,1,2
car,1,0,0,0,0
david,1,2,2,2,2
diving,1,0,0,0,0
drunk,1,1,1,0,0
fernando,2,1,1,0,0
fish1,9,1,1,6,5
fish2,2,1,1,1,4
gymnastics,0,0,0,0,0
hand1,4,2,1,1,2
hand2,8,5,4,4,1
jogging,0,1,1,1,2
motocross,1,3,3,3,3
polarbear,0,0,0,0,0
skating,1,1,1,6,4
sphere,4,0,1,0,0
sunshade,7,0,0,0,0
surfing,1,0,0,0,0
torus,5,1,3,1,1
trellis,1,1,1,1,1
tunnel,5,3,3,4,4
woman,3,1,0,0,2
sum,65,26,26,34,37
