num_particles,failures,overlap,fps
10.0,76,0.4720217738799095,1244.9197462405311
20.0,64,0.48760162088285486,705.5807184830758
30.0,53,0.4906381870087096,511.37579343640687
40.0,54,0.49510681197960726,390.96529793235845
50.0,50.0,0.49473928015917923,317.96734057078464
100.0,44.0,0.4988674673208542,161.66213496592286
150.0,47.0,0.49131577536024984,107.1942202576447
200.0,46.0,0.4940255169041766,78.85631634406936
250.0,49.0,0.4993891541048097,63.82534080652823
300.0,47.0,0.49182305353214645,50.88676118399635
